,,,,,,,,,,,,,,,,,,,,,,,,,
,TITULO,,,,,,,,MENCIÓN DE RESPONSABILIDADES,,,,,,,,,SONIDO,,MÚSICA,,,,,
Código de referencia,Propio,Paralelo,Atribuido,Titulo de serie,Número programa,País,Fecha,Duración,Investigación,Realización,Dirección,Guión,Adaptación,Idea original,Fotografía,Fotografía fija,Edición,Grabación,Edición,Original,músicalización,Voces,Actores,Animación,Otros colaboradores
MXIM-AV-1-10-64,John Everett Millais: Ophelia,,,Obras maestras,video 4,Inglaterra,1986,0:10:00,,,Reiner E. Moritz,Edwin Mullins,,,Konrad Kotowski,,Elke Riemann,,,,,Edwin Mullins,,,
MXIM-AV-1-10-65,Andrea Mantegna: Crucifixion of Christ,,,Obras maestras,video 4,Inglaterra,1989,0:10:00,,,Reiner E. Moritz,"Sandy Gill, Hermann Wiesler",,,Frederic Variot,,Elke Riemann,,,,,James Green,,,
MXIM-AV-1-10-66,"Divine horsemen, The living Gods of Haiti (Jinetes Divinos: Los Dioses Vivientes de Haití)",,,,,Estados Unidos,1985,0:50:36,,Maya Deren,,,,,Maya Deren,,Cherel Ito,,Teiji Ito,Teiji Ito,,"John Genke, Joan Pape",,Yudel Kyler,
MXIM-AV-1-10-67,La matelassière (La colchonera),,,Portraits d´Alain Cavalier,1a serie,Francia,1987,0:12:20,,Alain Cavalier,,,,,Jean-Francois Robin,,,Alain Lachassagne,,,Jerome Petitgirard,Alain Cavalier,,,Asistente: Nicolas Friedrich
MXIM-AV-1-10-68,La fileuse (La hilandera),,,Portraits d´Alain Cavalier,1a serie,Francia,1987,0:13:00,,Alain Cavalier,,,,,Pierre-Laurent Chénieux,,Marie-Dominique Arto,,,,Jerome Petitgirard,Alain Cavalier,,,Asistente: Nicolas Friedrich
MXIM-AV-1-10-69,La trempeuse (La florista),,,Portraits d´Alain Cavalier,1a serie,Francia,1987,0:12:58,,Alain Cavalier,,,,,Jean-Francois Robin,,Marie-Dominique Arto,Alain Lachassagne,,,Jerome Petitgirard,Alain Cavalier,,,Asistente: Nicolas Friedrich
MXIM-AV-1-10-70,L'orangère,,,Portraits d´Alain Cavalier,1a serie,Francia,1987,0:12:56,,Alain Cavalier,,,,,Jean-Francois Robin,,Marie-Dominique Arto,Alain Lachassagne,,,Jerome Petitgirard,Alain Cavalier,,,Asistente: Nicolas Friedrich
MXIM-AV-1-10-71,La brodeuse,,,Portraits d´Alain Cavalier,1a serie,Francia,1987,0:12:56,,Alain Cavalier,,,,,Pierre-Laurent Chénieux,,Isabel Dedieu,Alain Lachassagne,,,Jerome Petitgirard,Alain Cavalier,,,Asistente: Nicolas Friedrich
MXIM-AV-1-10-72,La dame-lavabo,,,Portraits d´Alain Cavalier,1a serie,Francia,1987,0:13:04,,Alain Cavalier,,,,,Jean-Noel Ferragut,,Sophie Durand,Pierre Lorrain,,,Jerome Petitgirard,Alain Cavalier,,,Asistente: Nicolas Friedrich
MXIM-AV-1-10-73,La relieuse,,,Portraits d´Alain Cavalier,1a serie,Francia,1987,0:12:56,,Alain Cavalier,,,,,Pierre-Laurent Chénieux,,Marie-Dominique Arto,Philippe Combes,,,Jerome Petitgirard,Alain Cavalier,,,Asistente: Nicolas Friedrich
MXIM-AV-1-10-74,La  bistrote,,,Portraits d´Alain Cavalier,1a serie,Francia,1987,0:13:03,,Alain Cavalier,,,,,Jean-Noel Ferragut,,Sophie Durand,Pierre Lorrain,,,Jerome Petitgirard,Alain Cavalier,,,Asistente: Nicolas Friedrich
MXIM-AV-1-10-75,La canneuse,,,Portraits d´Alain Cavalier,1a serie,Francia,1987,0:13:04,,Alain Cavalier,,,,,Jean-Francois Robin,,,Alain Lachassagne,,,Jerome Petitgirard,Alain Cavalier,,,
MXIM-AV-1-10-76,La repasseuse,,,Portraits d´Alain Cavalier,1a serie,Francia,1987,0:12:55,,Alain Cavalier,,,,,Jean-Noel Ferragut,,Sophie Durand,Pierre Lorrain,,,Jerome Petitgirard,Alain Cavalier,,,
MXIM-AV-1-10-77,La rémouleuse,,,Portraits d´Alain Cavalier,1a serie,Francia,1987,0:13:00,,Alain Cavalier,,,,,Armand Marco,,Sophie Durand,Alain Lachassagne,,,Jerome Petitgirard,Alain Cavalier,,,
MXIM-AV-1-10-78,La maítre-verrier,,,Portraits d´Alain Cavalier,1a serie,Francia,1987,0:13:00,,Alain Cavalier,,,,,Pierre-Laurent Chénieux,,Isabel Dedieu,Daniel Ollivier,,,Jerome Petitgirard,Alain Cavalier,,,Asistente: Nicolas Friedrich
MXIM-AV-1-10-79,First Contact. New Guinea's highlanders encounter the outside world. ,Primer contacto en Papua Nueva Guinea: el choque de dos visiones del mundo,,,,Australia,1983,0:54:00,,"Bob Connoly, Robin  Anderson",Robin Anderson,"Robin Anderson, Bob Connolly",,,"Dennis O'Rourke, Tony Wilson",,,,,,Ron Carpenter,,,,
MXIM-AV-1-10-80,Después de…,,,,,,1981-1983,0:54:00,,Cecilia y José Bartolomé,,,,,,,,,,,,,,,
MXIM-AV-1-10-81,Después de... No se os puede dejar solos,,,Después de…,1a parte  ,España,1981-1983,1:30:00,,Cecilia y José Bartolomé,,,,,José Luis Alcaine,,,,,,Vyistas Bremer,,,,
MXIM-AV-1-10-82,Después de... Atado y bien atado,,,Después de…,2a parte,España,1981-1983,1:39:00,,Cecilia y José Bartolomé,,,,,José Luis Alcaine,,,,,,Vyistas Bremer,,,,
MXIM-AV-1-10-83,La isla de las flores,,,,,Brasil,1989,0:12:31,,Jorge Furtado,Jorge Furtado,,,,"Roberto Henkin (locaciones), Sergio Amon (estudio) ",,,,,,Geraldo Flach,,,,
MXIM-AV-1-10-84,Corresponsales de guerra I y II,,,,I y II,Cuba,1986-1989,0:55:00,Belkis Vega,Belkis Vega,Belkis Vega,Belkis Vega,,,Julio Simoneau,,Margaro Santacruz,,Omar Hechavarria,,José María Vitier,,,Santiago Penate Paul Mesa,
MXIM-AV-1-10-85,Corresponsales de guerra III y IV,,,,III y IV,Cuba,1986-1989,0:55:00,Belkis Vega,Belkis Vega,Belkis Vega,Belkis Vega,,,Julio Simoneau,,Margaro Santacruz,,Omar Hechavarria,,José María Vitier,,,Santiago Penate Paul Mesa,
MXIM-AV-1-10-86,The Social Life of Small Urban Space (La socialización en los pequeños espacios urbanos),,,,,Estados Unidos,1988,0:58:12,,,,,,,,,,,,,,,,,
MXIM-AV-1-10-87,San Clemente,,,,,Francia,1982,1:30:00,,,"Raymond Depardon, Sophie Ristelhueber",,,,,,,,,,,,,,
