"codigo_de_referencia","titulo_propio","titulo_paralelo","titulo_atribuido","titulo_de_serie","numero_de_programa","pais","fecha","duracion","investigacion","realizacion","direccion","guion","adaptacion","idea_original","fotografia","fotografia_fija","edicion","sonido_grabacion","sonido_edicion","musica_original","musicalizacion","voces","actores","animacion","otros_colaboradores"
"MXIM-AV-1-10-79","First Contact. New Guinea's highlanders encounter the outside world.","Primer contacto en Papua Nueva Guinea: el choque de dos visiones del mundo","","","","Australia","1983","00:54:00","","Bob Connoly, Robin Anderson","Robin Anderson","Robin Anderson, Bob Connolly","","","Dennis O'Rourke, Tony Wilson","","","","","","Ron Carpenter","","","",""
"MXIM-AV-1-10-8","El Blanquita","","","","","México","1980","00:16:29","","Saúl Serrano","","","","","Antonio Díaz de la Serna","","Saúl Serrano","Guadalupe Ortega, Saúl Serrano","","","","","","","Asistente: Raúl Sánchez"
"MXIM-AV-1-10-80","Después de…","","","","","España","1981-1983","00:00:00","","Cecilia y José Bartolomé","","","","","","","","","","","","","","",""
"MXIM-AV-1-10-81","Después de... No se os puede dejar solos","","","Después de…","1a parte","España","1981-1983","01:30:00","","Cecilia y José Bartolomé","","","","","José Luis Alcaine","","","","","","Vyistas Bremer","","","",""
"MXIM-AV-1-10-82","Después de... Atado y bien atado","","","Después de…","2a parte","España","1981-1983","01:39:00","","Cecilia y José Bartolomé","","","","","José Luis Alcaine","","","","","","Vyistas Bremer","","","",""
"MXIM-AV-1-10-83","Ilha das Flores","Isla de las flores","","","","Brasil","1989","00:12:31","","Jorge Furtado","Jorge Furtado","","","","Roberto Henkin (locaciones), Sergio Amon (estudio)","","","","","","Geraldo Flach","","","",""
"MXIM-AV-1-10-84","Corresponsales de guerra I y II","","","","I y II","Cuba","1986-1989","00:55:00","Belkis Vega","Belkis Vega","Belkis Vega","Belkis Vega","","","Julio Simoneau","","Margaro Santacruz","","Omar Hechavarria","","José María Vitier","","","Santiago Penate Paul Mesa",""
"MXIM-AV-1-10-85","Corresponsales de guerra III","","","","III","Cuba","1986-1989","00:55:00","Belkis Vega","Belkis Vega","Belkis Vega","Belkis Vega","","","Julio Simoneau","","Margaro Santacruz","","Omar Hechavarria","","José María Vitier","","","Santiago Penate Paul Mesa",""
"MXIM-AV-1-10-86","The Social Life of Small Urban Space","La socialización en los pequeños espacios urbanos","","","","Estados Unidos","1988","00:58:12","","","","","","","","","","","","","","","","",""
"MXIM-AV-1-10-87","San Clemente","","","","","Francia","1982","01:30:00","","","Raymond Depardon, Sophie Ristelhueber","","","","","","","","","","","","","",""
"MXIM-AV-1-10-9","El eterno retorno: testimonios de los indios Kikapu","","","","","México","1984","01:32:00","Jasé Raúl Velasco","Rafael Montero","","","","","Alejandro Gamboa","","Juan Manuel Vargas","","","","","","","Carolina Kerlow","Coord. General: Alberto Becerril"
"MXIM-AV-1-11-1","Adolfo Ruiz Cortines, el jugador de dominó","","","México Siglo XX, Los sexenios","","México","1998","00:43:00","Álvaro Vázquez Mantecón","Eduardo Herrera","Diana Roldán","Olga Cáceres","","Enrique Krauze","","","Max Allen, Ricardo Batalla, Luis Carrillo, Albero Coria, Gabriela García, Iván Eslava","Juan Amézaga, Alejandro Herrera","Adriana Portillo, Pablo Ramos, Francisco Talán","","","Enrique Krauze, Gonzalo Curiel, Gerardo Vázquez","","",""
"MXIM-AV-1-11-10","Ariles y más ariles… Testimonios del son jarocho","","","","","México","1996","00:21:00","Alejandro Huidobro","Alejandro Huidobro","","Alejandro Huidobro, Erika Tamayo","","","Alejandro Huidobro","","Amaya Arriola","","","","","","","",""
"MXIM-AV-1-11-100","Matilde Landeta","","","","","México","1992","00:26:40","","Patricia Martínez de Velasco","","","","","Alberto Lee Sánchez","","Oscar Figueroa Jara, Patricia Martínez de Velasco","","","","","","","","Asesoría: Eduardo Maldonado Asistentes de producción: Cristina Velez, Cristina Martínez de Velasco"
"MXIM-AV-1-11-101","Memorias de cá e de lá - Paranoá/DF","","","","","Brasilia","1998","00:43:13","José Walter Nunes, Nancy Alessio Malgahaes, Teresa Paiva Chavez, Marta Litwinczik","Martha Litwinczik, Teresa Paiva Chaves","Nancy Alessio Magalhães","Nancy Alessio Magalhães, Marta Litwinczik Sinoti, Teresa Paiva Chaves","","","Naldo Fonseca","","Fernando Ferreira","","","","","","","",""
"MXIM-AV-1-11-102","Memorias de un mexicano","","","","","México","1994","01:40:02","","Carmen Toscano","","Carmen Toscano","","","Archivo Toscano","","Teódulo Bustos y Javier Sierra","","","","","Manuel Bernal","","",""
"MXIM-AV-1-11-103","Memorias do Mundo","","","","","Brasil","1999","00:38:00","","","Ana Luiza Carvalho da Rocha, María Henriqueta Creidy Satt","","","","Sadil Breda","","María Henriqueta Creidy Satt, Ana Luiza Carvalho da Rocha, Rafael Devos","","","","Carlos Badia","","","",""
