"MXIM-AV-1-10-72","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-10-03"
"MXIM-AV-1-10-73","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-10-03"
"MXIM-AV-1-10-74","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-10-03"
"MXIM-AV-1-10-75","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-10-03"
"MXIM-AV-1-10-76","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-10-03"
"MXIM-AV-1-10-77","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-10-03"
"MXIM-AV-1-10-78","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-10-03"
"MXIM-AV-1-10-79","","Elisa D. Espinosa","Adaptación de la norma ISAD (G)","2014-05-06"
"MXIM-AV-1-10-80","","Elisa D. Espinosa","Adaptación de la norma ISAD (G)","2014-05-06"
"MXIM-AV-1-10-81","","Elisa D. Espinosa","Adaptación de la norma ISAD (G)","2014-06-03"
"MXIM-AV-1-10-82","","Elisa D. Espinosa","Adaptación de la norma ISAD (G)","2014-06-03"
"MXIM-AV-1-10-83","","Elisa D. Espinosa","Adaptación de la norma ISAD (G)","2014-06-06"
"MXIM-AV-1-10-84","","Elisa D. Espinosa","Adaptación de la norma ISAD (G)","2013-10-26"
"MXIM-AV-1-10-86","","Elisa D. Espinosa","Adaptación de la norma ISAD (G)","2014-06-02"
"MXIM-AV-1-10-87",": Este documental tenía el código MXIM-AV-1-10-41, el cual coincide con \"Tiempo de victoria: El Salvador, ocho años de guerra\", pero en este Excel el film \"San Clemente\" no estaba identificado.","Elisa D. Espinosa","Adaptación de la norma ISAD (G)","2014-07-14"
"MXIM-AV-1-11-1","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-10-10"
"MXIM-AV-1-11-2","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-11-07"
"MXIM-AV-1-11-3","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-20"
"MXIM-AV-1-11-4","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-08-28"
"MXIM-AV-1-11-5","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-11-6","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-10-31"
"MXIM-AV-1-11-7","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-11-8","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-20"
"MXIM-AV-1-11-9","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-11-10","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-11-11","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-11-12","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-21"
"MXIM-AV-1-11-13","","Catalogación colectiva","Adaptación de la norma ISAD (G)","2013-08-08"
"MXIM-AV-1-11-14","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-11-15","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-11-07"
"MXIM-AV-1-11-16","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-11-17","","Catalogación colectiva","Adaptación de la norma ISAD (G)","2013-08-12"
"MXIM-AV-1-11-18","","Catalogación colectiva","Adaptación de la norma ISAD (G)","2013-08-12"
"MXIM-AV-1-11-19","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-11-20","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-28"
"MXIM-AV-1-11-21","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-28"
"MXIM-AV-1-11-22","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-28"
"MXIM-AV-1-11-23","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-01"
"MXIM-AV-1-11-24","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-11-25","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-11-26","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-10-15"
"MXIM-AV-1-11-27","La fuente original (URL) ya no es válida para la reseña biográfica: http://translate.google.com.mx/translate?hl=es&sl=en&u=http://www2.uol.com.br/mostra/23/english/filmes/148.htm&sa=X&oi=translate&resnum=3&ct=result&prev=/search%3Fq%3DPeter%2BDelpeut%2B%26hl%3Des%26client%3Dfirefox-a%26rls%3Dorg.mozilla:es-ES:official%26sa%3DG","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-11-28","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-11-29","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-10-11"
"MXIM-AV-1-11-30","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-11-31","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-11-32","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-10-09"
"MXIM-AV-1-11-33","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-11-34","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-10-09"
"MXIM-AV-1-11-35","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-11-36","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-11-37","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-11-38","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-11-39","","","Adaptación de la norma ISAD (G)","2015-06-01"
