"codigo_de_referencia","existencia_y_localizacion_de_copias","unidades_de_descripcion_relacionadas","documentos_asociados"
"MXIM-AV-1-11-43","","",""
"MXIM-AV-1-11-44","","",""
"MXIM-AV-1-11-45","","",""
"MXIM-AV-1-11-46","","Documental Mi multi es mi multi, Historia oral del multifamiliar Miguel Alemán (1949-1999): MXIM-AV-1-11-108",""
"MXIM-AV-1-11-47","","",""
"MXIM-AV-1-11-48","","",""
"MXIM-AV-1-11-49","","",""
"MXIM-AV-1-11-50","","",""
"MXIM-AV-1-11-51","","",""
"MXIM-AV-1-11-52","","",""
"MXIM-AV-1-11-53","","",""
"MXIM-AV-1-11-53-1","","",""
"MXIM-AV-1-11-53-2","","",""
"MXIM-AV-1-11-54","","",""
"MXIM-AV-1-11-55","","",""
"MXIM-AV-1-11-56","","",""
"MXIM-AV-1-11-57","","",""
"MXIM-AV-1-11-58","","",""
"MXIM-AV-1-11-59","","",""
"MXIM-AV-1-11-60","","",""
"MXIM-AV-1-11-61","","",""
"MXIM-AV-1-11-62","","",""
"MXIM-AV-1-11-63","","",""
"MXIM-AV-1-11-64","","",""
"MXIM-AV-1-11-65","","",""
"MXIM-AV-1-11-66","","",""
"MXIM-AV-1-11-67","","",""
"MXIM-AV-1-11-68","","",""
"MXIM-AV-1-11-69","","",""
"MXIM-AV-1-11-70","","",""
"MXIM-AV-1-11-71","","",""
"MXIM-AV-1-11-72","","",""
"MXIM-AV-1-11-73","","",""
"MXIM-AV-1-11-74","","",""
"MXIM-AV-1-11-75","","",""
"MXIM-AV-1-11-76","","",""
"MXIM-AV-1-11-77","","",""
"MXIM-AV-1-11-78","","",""
"MXIM-AV-1-11-79","","Documentales  relacionados:  Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, Diálogo bajo amenaza (MXIM-AV-1-11-20). Chiapas, la historia continúa (MXIM-AV-1-11-21). Chiapas, la otra guerra (MXIM-AV-1-11-22). Chiapas, historia inconclusa (MXIM-AV-1-11-23). Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91). Marcos, Marcos... (MXIM-AV-1-11-99). Todos somos Marcos (MXIM-AV-1-11-148). Un puente a la esperanza, entrevista con Marcos (MXIM-AV-1-11-152). Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155)",""
"MXIM-AV-1-11-80","","",""
"MXIM-AV-1-11-81","","",""
"MXIM-AV-1-11-82","","",""
"MXIM-AV-1-11-83","","",""
"MXIM-AV-1-11-84","","",""
"MXIM-AV-1-11-85","","",""
"MXIM-AV-1-11-86","","",""
"MXIM-AV-1-11-87","","",""
"MXIM-AV-1-11-88","","",""
"MXIM-AV-1-11-89","","",""
"MXIM-AV-1-11-90","","",""
"MXIM-AV-1-11-91","","Documentales relacionados: Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, Diálogo bajo amenaza (MXIM-AV-1-11-20). Chiapas, la historia continúa (MXIM-AV-1-11-21). Chiapas, la otra guerra (MXIM-AV-1-11-22). Chiapas, historia inconclusa (MXIM-AV-1-11-23). La guerra de Chiapas (MXIM-AV-1-11-79). Marcos, Marcos... (MXIM-AV-1-11-99). Todos somos Marcos (MXIM-AV-1-11-148). Un puente a la esperanza, entrevista con Marcos (MXIM-AV-1-11-152). Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155)",""
"MXIM-AV-1-11-92","","",""
"MXIM-AV-1-11-93","","",""
"MXIM-AV-1-11-94","","",""
"MXIM-AV-1-11-94-1","","",""
"MXIM-AV-1-11-94-2","","",""
"MXIM-AV-1-11-95","","",""
"MXIM-AV-1-11-96","","",""
"MXIM-AV-1-11-97","","",""
"MXIM-AV-1-11-98","","",""
"MXIM-AV-1-11-99","","Documentales relacionados: Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, Diálogo bajo amenaza (MXIM-AV-1-11-20). Chiapas, la historia continúa (MXIM-AV-1-11-21). Chiapas, la otra guerra (MXIM-AV-1-11-22). Chiapas, historia inconclusa (MXIM-AV-1-11-23). La guerra de Chiapas (MXIM-AV-1-11-79). Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91). Todos somos Marcos (MXIM-AV-1-11-148). Un puente a la esperanza, entrevista con Marcos (MXIM-AV-1-11-152). Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155)",""
"MXIM-AV-1-11-100","","",""
"MXIM-AV-1-11-101","","",""
"MXIM-AV-1-11-102","","",""
"MXIM-AV-1-11-103","","",""
"MXIM-AV-1-11-104","","",""
"MXIM-AV-1-11-105","","",""
"MXIM-AV-1-11-106","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 322.44 MEX.s ej.2","",""
"MXIM-AV-1-11-107","","",""
"MXIM-AV-1-11-108","","",""
"MXIM-AV-1-11-109","","",""
"MXIM-AV-1-11-110","","",""
"MXIM-AV-1-11-111","","",""
"MXIM-AV-1-11-112","","",""
"MXIM-AV-1-11-113","","",""
"MXIM-AV-1-11-114","","Piqueteras MXIM-AV-1-12-150 Corazón de fábrica MXIM-AV-1-12-20",""
"MXIM-AV-1-11-115","","",""
"MXIM-AV-1-11-116","","",""
"MXIM-AV-1-11-117","","",""
"MXIM-AV-1-11-118","","",""
"MXIM-AV-1-11-119","","",""
"MXIM-AV-1-11-120","","",""
"MXIM-AV-1-11-121","","",""
"MXIM-AV-1-11-122","","",""
"MXIM-AV-1-11-123","","",""
"MXIM-AV-1-11-124","","Portraits d´alain Cavalier (1a parte): MXIM-AV-1-10-34",""
"MXIM-AV-1-11-125","","",""
"MXIM-AV-1-11-126","","",""
"MXIM-AV-1-11-127","","",""
