"codigo_de_referencia","titulo_propio","fecha","usuario","accion"
"MXIM-AV-1-11-86","11 de septiembre, 1973. El último combate de Salvador Allende","2016-04-18 13:38:46","Carlos","U"
"MXIM-AV-1-11-2","Ora rindo, ora chorando","2016-04-18 13:39:27","Jocelyn","U"
"MXIM-AV-1-11-94-2","Se está volviendo gobierno 1915-1919","2016-04-18 13:44:03","Jocelyn","U"
"MXIM-AV-1-11-3","Afriques: comment ca va avec la douleur?","2016-04-18 13:44:59","Jocelyn","U"
"MXIM-AV-1-11-4","Más vale paso que dure","2016-04-18 13:50:10","Jocelyn","U"
"MXIM-AV-1-11-5","Alma del pueblo","2016-04-18 13:51:17","Jocelyn","U"
"MXIM-AV-1-11-6","Miguel Alemán Valdés, el cachorro de la revolución","2016-04-18 13:53:32","Jocelyn","U"
"MXIM-AV-1-11-8","Amsterdam global Village","2016-04-18 13:57:00","Jocelyn","U"
"MXIM-AV-1-11-9","A place called Chiapas","2016-04-18 13:57:48","Jocelyn","U"
"MXIM-AV-1-11-10","Ariles y más ariles… Testimonios del son jarocho","2016-04-18 13:58:49","Jocelyn","U"
"MXIM-AV-1-11-11","Obra Documental de Artavazd Pelechian","2016-04-18 13:59:36","Jocelyn","U"
"MXIM-AV-1-11-12","Baraka","2016-04-18 14:00:28","Jocelyn","U"
"MXIM-AV-1-11-13","Batalhas pelo Patrimonio Batalhas pela História","2016-04-18 14:01:09","Jocelyn","U"
"MXIM-AV-1-11-14","Batallón Olimpia. Documento abierto","2016-04-18 14:18:30","Jocelyn","U"
"MXIM-AV-1-11-15","Belovy","2016-04-18 14:19:39","Jocelyn","U"
"MXIM-AV-1-11-16","Blob Ubik-Il Bel Paese","2016-04-18 14:21:07","Jocelyn","U"
"MXIM-AV-1-11-17","Buenavista Social Club","2016-04-18 14:22:36","Jocelyn","U"
"MXIM-AV-1-11-18","Cadê Brasília que construimos?","2016-04-18 14:23:30","Jocelyn","U"
"MXIM-AV-1-11-19","Candlemas in Patamban. Purhépecha, Michoacán, México","2016-04-18 14:25:03","Jocelyn","U"
"MXIM-AV-1-11-20","Chiapas. Diálogo bajo amenaza","2016-04-18 14:26:47","Jocelyn","U"
"MXIM-AV-1-11-21","Chiapas. La historia continúa","2016-04-18 14:31:33","Jocelyn","U"
"MXIM-AV-1-11-22","Chiapas, la otra guerra","2016-04-18 14:34:32","Jocelyn","U"
"MXIM-AV-1-11-23","Chiapas, Historia inconclusa","2016-04-18 14:35:32","Jocelyn","U"
"MXIM-AV-1-11-24","Chile la memoria obstinada","2016-04-18 14:36:12","Jocelyn","U"
"MXIM-AV-1-11-25","Chute Libre","2016-04-18 14:37:21","Jocelyn","U"
"MXIM-AV-1-11-26","Ciclo testimonios","2016-04-18 14:38:50","Jocelyn","U"
"MXIM-AV-1-11-27","Cinéma Perdu","2016-04-18 14:39:31","Jocelyn","U"
"MXIM-AV-1-11-28","Nema-ye Nazdik","2016-04-18 14:40:35","Jocelyn","U"
"MXIM-AV-1-11-29","Consulta Nacional","2016-04-18 14:43:58","Jocelyn","U"
"MXIM-AV-1-11-30","Copperwork in Santa Clara del Cobre. Artisans facing change","2016-04-18 14:44:33","Jocelyn","U"
"MXIM-AV-1-11-31","Cuando la rumba nos conoció","2016-04-18 14:45:01","Jocelyn","U"
"MXIM-AV-1-11-32","Cuando yo nací como persona","2016-04-18 14:45:50","Jocelyn","U"
"MXIM-AV-1-11-33","Cuatro rayas, un pueblo organizado","2016-04-18 14:46:13","Jocelyn","U"
"MXIM-AV-1-11-34","Cuentos para una soledad desvelada","2016-04-18 14:46:43","Jocelyn","U"
"MXIM-AV-1-11-35","Weavers in Auiran. Michoacán, Mexico","2016-04-18 14:48:04","Jocelyn","U"
"MXIM-AV-1-11-36","De wereld rond met pathé 1910-1915","2016-04-18 14:48:43","Jocelyn","U"
"MXIM-AV-1-11-37","Del olvido al no me acuerdo","2016-04-18 14:49:11","Jocelyn","U"
"MXIM-AV-1-11-38","Destination Samoa. New Zealand-Samoans between two cultures","2016-04-18 14:50:49","Jocelyn","U"
"MXIM-AV-1-11-39","Días de albergue","2016-04-18 14:51:26","Jocelyn","U"
"MXIM-AV-1-11-40","Die mauer","2016-04-18 14:53:54","Jocelyn","U"
"MXIM-AV-1-11-41","Diva Dolorosa","2016-04-18 14:54:27","Jocelyn","U"
"MXIM-AV-1-11-42","Ecología y grupos étnicos","2016-04-18 14:55:11","Jocelyn","U"
"MXIM-AV-1-11-43","Efemérides latinoamericanas","2016-04-18 14:55:48","Jocelyn","U"
"MXIM-AV-1-11-44","El buen restaurador ama lo antiguo. Testimonio del arquitecto Ricardo de Robina","2016-04-18 14:56:27","Jocelyn","U"
"MXIM-AV-1-11-45","Adolfo Ruiz Cortines, el apogeo del sistema","2016-04-18 14:56:58","Jocelyn","U"
"MXIM-AV-1-11-46","Nuestra capital hace medio siglo","2016-04-18 14:57:38","Jocelyn","U"
"MXIM-AV-1-11-47","El Petén, Guatemala","2016-04-18 14:58:09","Jocelyn","U"
"MXIM-AV-1-11-48","Colonia Roma, vida y arquitectura","2016-04-18 14:59:01","Jocelyn","U"
"MXIM-AV-1-11-49","Emiliano Zapata, el amor a la tierra","2016-04-18 14:59:41","Jocelyn","U"
"MXIM-AV-1-11-50","Ferrocarril a utopía","2016-04-18 15:00:14","Jocelyn","U"
"MXIM-AV-1-11-51","Film ist. (1-6)","2016-04-18 15:00:50","Jocelyn","U"
"MXIM-AV-1-11-52","Miguel Alemán, El presidente empresario","2016-04-18 15:02:44","Jocelyn","U"
"MXIM-AV-1-11-53","Adria, urlaubsfilme 1958-1964","2016-04-18 15:03:59","Jocelyn","U"
"MXIM-AV-1-11-54","Regresso à terra","2016-04-18 15:04:35","Jocelyn","U"
"MXIM-AV-1-11-56","Foutura. A Lobi potter tells her story","2016-04-18 15:05:24","Jocelyn","U"
"MXIM-AV-1-11-57","Francisco Villa: el Ángel y el Fierro","2016-04-18 15:05:59","Jocelyn","U"
"MXIM-AV-1-11-58","Frank Lloyd Wright. The office for Edgar J. Kaufmann","2016-04-18 15:06:29","Jocelyn","U"
"MXIM-AV-1-11-59","Future Remembrance. Photography and Image Art in Ghana","2016-04-18 15:07:57","Jocelyn","U"
"MXIM-AV-1-11-60","Guia Too","2016-04-18 15:10:51","Jocelyn","U"
"MXIM-AV-1-8-19","Heracles","2016-04-19 12:03:18","Rodrigo","U"
"MXIM-AV-1-8-20","La punition","2016-04-19 12:05:22","Rodrigo","U"
"MXIM-AV-1-8-21","Law and order","2016-04-19 12:06:37","Rodrigo","U"
"MXIM-AV-1-8-22","Les années folles","2016-04-19 12:07:05","Rodrigo","U"
"MXIM-AV-1-8-24","México bárbaro","2016-04-19 12:08:04","Rodrigo","U"
